"TIMESTAMP","TECHNOLOGIES","availabilityFactor"
914,"Thermal",1
915,"Thermal",1
916,"Thermal",1
917,"Thermal",1
918,"Thermal",1
919,"Thermal",1
920,"Thermal",1
921,"Thermal",1
922,"Thermal",1
923,"Thermal",1
924,"Thermal",1
925,"Thermal",1
926,"Thermal",1
927,"Thermal",1
928,"Thermal",1
929,"Thermal",1
930,"Thermal",1
931,"Thermal",1
932,"Thermal",1
933,"Thermal",1
934,"Thermal",1
935,"Thermal",1
936,"Thermal",1
937,"Thermal",1
938,"Thermal",1
939,"Thermal",1
940,"Thermal",1
941,"Thermal",1
942,"Thermal",1
943,"Thermal",1
944,"Thermal",1
945,"Thermal",1
946,"Thermal",1
947,"Thermal",1
948,"Thermal",1
949,"Thermal",1
950,"Thermal",1
951,"Thermal",1
952,"Thermal",1
953,"Thermal",1
954,"Thermal",1
955,"Thermal",1
956,"Thermal",1
957,"Thermal",1
958,"Thermal",1
959,"Thermal",1
960,"Thermal",1
961,"Thermal",1
962,"Thermal",1
963,"Thermal",1
964,"Thermal",1
965,"Thermal",1
966,"Thermal",1
967,"Thermal",1
968,"Thermal",1
969,"Thermal",1
970,"Thermal",1
971,"Thermal",1
972,"Thermal",1
973,"Thermal",1
974,"Thermal",1
975,"Thermal",1
976,"Thermal",1
977,"Thermal",1
978,"Thermal",1
979,"Thermal",1
980,"Thermal",1
981,"Thermal",1
982,"Thermal",1
983,"Thermal",1
984,"Thermal",1
985,"Thermal",1
986,"Thermal",1
987,"Thermal",1
988,"Thermal",1
989,"Thermal",1
990,"Thermal",1
991,"Thermal",1
992,"Thermal",1
993,"Thermal",1
994,"Thermal",1
995,"Thermal",1
996,"Thermal",1
997,"Thermal",1
998,"Thermal",1
999,"Thermal",1
1000,"Thermal",1
1001,"Thermal",1
1002,"Thermal",1
1003,"Thermal",1
1004,"Thermal",1
1005,"Thermal",1
1006,"Thermal",1
1007,"Thermal",1
1008,"Thermal",1
1009,"Thermal",1
1010,"Thermal",1
1011,"Thermal",1
1012,"Thermal",1
1013,"Thermal",1
1014,"Thermal",1
1015,"Thermal",1
1016,"Thermal",1
1017,"Thermal",1
1018,"Thermal",1
1019,"Thermal",1
1020,"Thermal",1
1021,"Thermal",1
1022,"Thermal",1
1023,"Thermal",1
1024,"Thermal",1
1025,"Thermal",1
1026,"Thermal",1
1027,"Thermal",1
1028,"Thermal",1
1029,"Thermal",1
1030,"Thermal",1
1031,"Thermal",1
1032,"Thermal",1
1033,"Thermal",1
1034,"Thermal",1
1035,"Thermal",1
1036,"Thermal",1
1037,"Thermal",1
1038,"Thermal",1
1039,"Thermal",1
1040,"Thermal",1
1041,"Thermal",1
1042,"Thermal",1
1043,"Thermal",1
1044,"Thermal",1
1045,"Thermal",1
1046,"Thermal",1
1047,"Thermal",1
1048,"Thermal",1
1049,"Thermal",1
1050,"Thermal",1
1051,"Thermal",1
1052,"Thermal",1
1053,"Thermal",1
1054,"Thermal",1
1055,"Thermal",1
1056,"Thermal",1
1057,"Thermal",1
1058,"Thermal",1
1059,"Thermal",1
1060,"Thermal",1
1061,"Thermal",1
1062,"Thermal",1
1063,"Thermal",1
1064,"Thermal",1
1065,"Thermal",1
1066,"Thermal",1
1067,"Thermal",1
1068,"Thermal",1
1069,"Thermal",1
1070,"Thermal",1
1071,"Thermal",1
1072,"Thermal",1
1073,"Thermal",1
1074,"Thermal",1
1075,"Thermal",1
1076,"Thermal",1
1077,"Thermal",1
1078,"Thermal",1
1079,"Thermal",1
1080,"Thermal",1
1081,"Thermal",1
1082,"Thermal",1
1083,"Thermal",1
1084,"Thermal",1
1085,"Thermal",1
1086,"Thermal",1
1087,"Thermal",1
1088,"Thermal",1
1089,"Thermal",1
1090,"Thermal",1
1091,"Thermal",1
1092,"Thermal",1
1093,"Thermal",1
1094,"Thermal",1
1095,"Thermal",1
1096,"Thermal",1
1097,"Thermal",1
1098,"Thermal",1
1099,"Thermal",1
1100,"Thermal",1
1101,"Thermal",1
1102,"Thermal",1
1103,"Thermal",1
1104,"Thermal",1
1105,"Thermal",1
1106,"Thermal",1
1107,"Thermal",1
1108,"Thermal",1
1109,"Thermal",1
1110,"Thermal",1
1111,"Thermal",1
1112,"Thermal",1
1113,"Thermal",1
1114,"Thermal",1
1115,"Thermal",1
1116,"Thermal",1
1117,"Thermal",1
1118,"Thermal",1
1119,"Thermal",1
1120,"Thermal",1
1121,"Thermal",1
1122,"Thermal",1
1123,"Thermal",1
1124,"Thermal",1
1125,"Thermal",1
1126,"Thermal",1
1127,"Thermal",1
1128,"Thermal",1
1129,"Thermal",1
1130,"Thermal",1
1131,"Thermal",1
1132,"Thermal",1
1133,"Thermal",1
1134,"Thermal",1
1135,"Thermal",1
1136,"Thermal",1
1137,"Thermal",1
1138,"Thermal",1
1139,"Thermal",1
1140,"Thermal",1
1141,"Thermal",1
1142,"Thermal",1
1143,"Thermal",1
1144,"Thermal",1
1145,"Thermal",1
1146,"Thermal",1
1147,"Thermal",1
1148,"Thermal",1
1149,"Thermal",1
1150,"Thermal",1
1151,"Thermal",1
1152,"Thermal",1
1153,"Thermal",1
1154,"Thermal",1
1155,"Thermal",1
1156,"Thermal",1
1157,"Thermal",1
1158,"Thermal",1
1159,"Thermal",1
1160,"Thermal",1
1161,"Thermal",1
1162,"Thermal",1
1163,"Thermal",1
1164,"Thermal",1
1165,"Thermal",1
1166,"Thermal",1
1167,"Thermal",1
1168,"Thermal",1
1169,"Thermal",1
1170,"Thermal",1
1171,"Thermal",1
1172,"Thermal",1
1173,"Thermal",1
1174,"Thermal",1
1175,"Thermal",1
1176,"Thermal",1
1177,"Thermal",1
1178,"Thermal",1
1179,"Thermal",1
1180,"Thermal",1
1181,"Thermal",1
1182,"Thermal",1
1183,"Thermal",1
1184,"Thermal",1
1185,"Thermal",1
1186,"Thermal",1
1187,"Thermal",1
1188,"Thermal",1
1189,"Thermal",1
1190,"Thermal",1
1191,"Thermal",1
1192,"Thermal",1
1193,"Thermal",1
1194,"Thermal",1
1195,"Thermal",1
1196,"Thermal",1
1197,"Thermal",1
1198,"Thermal",1
1199,"Thermal",1
1200,"Thermal",1
1201,"Thermal",1
1202,"Thermal",1
1203,"Thermal",1
1204,"Thermal",1
1205,"Thermal",1
1206,"Thermal",1
1207,"Thermal",1
1208,"Thermal",1
1209,"Thermal",1
1210,"Thermal",1
1211,"Thermal",1
1212,"Thermal",1
1213,"Thermal",1
1214,"Thermal",1
1215,"Thermal",1
1216,"Thermal",1
1217,"Thermal",1
1218,"Thermal",1
1219,"Thermal",1
1220,"Thermal",1
1221,"Thermal",1
1222,"Thermal",1
1223,"Thermal",1
1224,"Thermal",1
1225,"Thermal",1
1226,"Thermal",1
1227,"Thermal",1
1228,"Thermal",1
1229,"Thermal",1
1230,"Thermal",1
1231,"Thermal",1
1232,"Thermal",1
1233,"Thermal",1
1234,"Thermal",1
1235,"Thermal",1
1236,"Thermal",1
1237,"Thermal",1
1238,"Thermal",1
1239,"Thermal",1
1240,"Thermal",1
1241,"Thermal",1
1242,"Thermal",1
1243,"Thermal",1
1244,"Thermal",1
1245,"Thermal",1
1246,"Thermal",1
1247,"Thermal",1
1248,"Thermal",1
1249,"Thermal",1
1250,"Thermal",1
1251,"Thermal",1
1252,"Thermal",1
1253,"Thermal",1
1254,"Thermal",1
1255,"Thermal",1
1256,"Thermal",1
1257,"Thermal",1
1258,"Thermal",1
1259,"Thermal",1
1260,"Thermal",1
1261,"Thermal",1
1262,"Thermal",1
1263,"Thermal",1
1264,"Thermal",1
1265,"Thermal",1
1266,"Thermal",1
1267,"Thermal",1
1268,"Thermal",1
1269,"Thermal",1
1270,"Thermal",1
1271,"Thermal",1
1272,"Thermal",1
1273,"Thermal",1
1274,"Thermal",1
1275,"Thermal",1
1276,"Thermal",1
1277,"Thermal",1
1278,"Thermal",1
1279,"Thermal",1
1280,"Thermal",1
1281,"Thermal",1
1282,"Thermal",1
1283,"Thermal",1
1284,"Thermal",1
1285,"Thermal",1
1286,"Thermal",1
1287,"Thermal",1
1288,"Thermal",1
1289,"Thermal",1
1290,"Thermal",1
1291,"Thermal",1
1292,"Thermal",1
1293,"Thermal",1
1294,"Thermal",1
1295,"Thermal",1
1296,"Thermal",1
1297,"Thermal",1
1298,"Thermal",1
1299,"Thermal",1
1300,"Thermal",1
1301,"Thermal",1
1302,"Thermal",1
1303,"Thermal",1
1304,"Thermal",1
1305,"Thermal",1
1306,"Thermal",1
1307,"Thermal",1
1308,"Thermal",1
1309,"Thermal",1
1310,"Thermal",1
1311,"Thermal",1
1312,"Thermal",1
1313,"Thermal",1
1314,"Thermal",1
1315,"Thermal",1
1316,"Thermal",1
1317,"Thermal",1
1318,"Thermal",1
1319,"Thermal",1
1320,"Thermal",1
1321,"Thermal",1
1322,"Thermal",1
1323,"Thermal",1
1324,"Thermal",1
1325,"Thermal",1
1326,"Thermal",1
1327,"Thermal",1
1328,"Thermal",1
1329,"Thermal",1
1330,"Thermal",1
1331,"Thermal",1
1332,"Thermal",1
1333,"Thermal",1
1334,"Thermal",1
1335,"Thermal",1
1336,"Thermal",1
1337,"Thermal",1
1338,"Thermal",1
1339,"Thermal",1
1340,"Thermal",1
1341,"Thermal",1
1342,"Thermal",1
1343,"Thermal",1
1344,"Thermal",1
1345,"Thermal",1
1346,"Thermal",1
1347,"Thermal",1
1348,"Thermal",1
1349,"Thermal",1
1350,"Thermal",1
1351,"Thermal",1
1352,"Thermal",1
