Mois;heures;Branche Nom;Somme de Lave-Linge;Somme de Lave-vaisselle;Somme de Sèche-linge;Somme de Réfrigérateurs et combinés;Somme de Congélateurs;Somme de Télévisions;Somme de Lecteurs DVD;Somme de Magnétoscopes;Somme de Ordinateurs fixes, secondaires et portables;Somme de Décodeurs, TNT, Satellite et TV ADSL;Somme de Imprimantes;Somme de Boxs et modems;Somme de Téléphones fixes;Somme de Chaîne-Hifi;Somme de Consoles de jeux;Somme de Grille Pain;Somme de Bouilloires électriques;Somme de Cafetières filtres / Machine à expresso;Somme de Micro-ondes;Somme de Mini-four;Somme de Friteuses;Somme de Hottes;Somme de Cuisinières;Somme de Aspirateur;Somme de Fers à repasser / Centrales vapeures;Somme de Ordinateurs;Somme de Imprimantes / Photocopieurs / Scanners;Somme de Serveurs;Somme de Faxs;Somme de Traceurs;Somme de Cuisson;Somme de Electroménager;Somme de Froid Alimentaire;Somme de Process;Somme de Energie;Somme de Agriculture;Somme de Auxiliaire de Chauffage;Somme de Chauffage;Somme de Eclairage Public;Somme de Eclairage;Somme de Climatisation;Somme de ECS;Somme de Autres (Inconnu);Somme de Pertes
10;16;Résidence Principale;0,013501881;0,005176969;0,013345968;0,022944404;0,01420961;0,020938279;0,001273083;0;0,013175171;0,003981767;0,000992252;0,001964665;0;0,002157083;0,001669675;0,000198869;0,000534166;0,000717198;0,001924533;0,00052127;0,000174487;0,000145506;0,015509938;0,000605337;0,003156808;0;0;0;0;0;0;0;0;0;0;0;0,000877374;0;0;0,021154404;0,009474628;0,016946901;0,029545439;0,015177237
10;16;Résidence Secondaire;0,000249744;0,000106753;0,00020156;0,001198222;0,000225192;0,001021884;8,94973E-06;0;0;0;0;0;0,000652669;9,73727E-06;5,99197E-06;4,97395E-06;2,80866E-05;6,54957E-05;3,5343E-05;6,79671E-06;5,06775E-06;9,43918E-06;0,000802854;2,60038E-05;6,38269E-05;0;0;0;0;0;0;0;0;0;0;0;0,000256511;0;0;0,001124979;0;0,001122253;0,00157121;0,000616248
10;16;SPE Matériaux de construction;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,011366572;0;0;0;0;0;0,00079566
10;16;SPE Verre;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,002409004;0;0;0;0;0;0,00016863
10;16;Tertiaire - Autres;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,057188029;0,004003162
10;16;Tertiaire - CHR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00613722;0;0;0;0;0;0;0;0,001298409;0,000667266;0,003995733;0,00054426;0;0;0,000588091;0;0;0,007164679;0,010119784;0,002231939;0,001973104;0,002430434
10;16;Tertiaire - COM;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000379707;0;0;0;0;0;0;0;0,000355841;0;0,005404821;0,002208576;0;0;0,000589847;0;0;0,013661677;0,009503935;0,000773608;0,003520358;0,002547886
10;16;Tertiaire - ENS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000791945;0;0;0,000491401;0,000103434;0,00017814;0;0;0,000396358;0;0,000873633;0;0;0;2,01031E-05;0;0;0,002809328;0,000643326;0,000714902;0,000400041;0,000519583
10;16;Tertiaire - EP;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;16;Tertiaire - HCO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000556817;0;0;0;0;0;0;0;0,000433434;0;0,000407782;0,000624871;0;0;1,80226E-05;0;0;0,001478608;0,002181136;0,000637498;0,000327463;0,000466594
