construction_year_class;heating_system;living_area_class;residential_type;occupancy_status;heating_fuel;energy_class;IPONDL;energy_consumption;surface
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;A;4;37.8291789652068;52.23403589475645
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;B;24;76.34573626661489;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;C;83;123.70523156075431;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;D;343;195.10015830302152;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;E;1216;283.5981587909953;52.23403589475644
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;F;1088;388.3192988439885;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;free accomodation;other;G;999;593.0217230774387;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;low rent housing;other;C;4;110.65905744323274;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;low rent housing;other;D;6;213.01280081862828;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;low rent housing;other;E;28;284.7480962871474;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;low rent housing;other;F;42;370.1051908992397;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;low rent housing;other;G;35;645.784868019538;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;A;71;40.35463651726022;52.23403589475644
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;B;305;72.73804597085912;52.23403589475645
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;C;1048;127.59465640821232;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;D;4616;197.13348549668;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;E;14568;284.53052140619354;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;F;12883;387.18087770331107;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;owner;other;G;11693;594.2130102064967;52.23403589475645
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;A;20;39.20902252485143;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;B;75;74.76904234339017;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;C;220;125.37231916243137;52.23403589475645
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;D;1084;194.9107851983858;52.234035894756445
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;E;3106;284.2752999797492;52.23403589475645
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;F;2836;386.97879450007645;52.23403589475644
[1000, 1918];Autres;De 40 à 60 m²;house;renter;other;G;2684;591.081537348344;52.234035894756445
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;A;4;37.97909534599187;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;B;22;68.82881073856336;68.79263436020793
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;C;66;126.22778797676322;68.79263436020793
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;D;135;192.6729588580347;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;E;146;279.3012946865102;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;F;82;377.24905228297837;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;free accomodation;other;G;67;554.491526773084;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;A;1;43.2486247569994;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;B;1;85.41993967564288;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;C;12;125.94783077899025;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;D;22;198.36721131729493;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;E;17;285.2342141256897;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;F;11;389.8272061016153;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;low rent housing;other;G;14;512.0685397981255;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;A;11;40.21020170282484;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;B;104;70.40202937214663;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;C;361;124.54128784173624;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;D;792;193.28290101294664;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;E;811;273.324185980081;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;F;551;382.31055258661917;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;owner;other;G;419;543.4389127118899;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;A;22;36.49112181857259;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;B;132;72.35642827862041;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;C;542;122.89635177464633;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;D;1038;194.11226722595669;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;E;940;274.5616965878738;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;F;750;382.1269502203754;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;apartment;renter;other;G;588;553.5798274467334;68.79263436020791
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;A;12;33.45877782736657;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;B;44;74.10369568754452;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;C;229;126.31506839098587;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;D;984;194.23529236484808;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;E;1925;279.90769580088084;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;F;1552;383.4878545449972;71.68464342159315
[1000, 1918];Autres;De 60 à 80 m²;house;free accomodation;other;G;1149;569.6715424201493;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;A;1;35.40777023866721;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;B;1;74.2109096810408;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;C;15;130.4046084176858;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;D;44;189.65021677749968;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;E;92;285.6063615145247;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;F;67;380.77642523131505;71.68464342159315
[1000, 1918];Autres;De 60 à 80 m²;house;low rent housing;other;G;37;545.1994390036974;71.68464342159315
[1000, 1918];Autres;De 60 à 80 m²;house;owner;other;A;253;35.82040779732243;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;owner;other;B;974;73.38946556736659;71.68464342159314
[1000, 1918];Autres;De 60 à 80 m²;house;owner;other;C;4484;126.01412948762734;71.68464342159314
