Heure;Jour;Mois;Industrie;Autres residentiel;Autres tertiaire;Eclairage;Cuisson
8;Samedi;5;0,367911617;0,204144279;0,287247428;0,086136827;0,054559849
9;Samedi;5;0,353110542;0,214838443;0,299986561;0,083510513;0,048553941
10;Samedi;5;0,356337876;0,225463537;0,303386548;0,082756957;0,032055083
11;Samedi;5;0,352871003;0,223951903;0,30791804;0,080011807;0,035247248
12;Samedi;5;0,344087465;0,228880781;0,273383434;0,074063418;0,079584902
13;Samedi;5;0,346380483;0,240735425;0,239392588;0,071804686;0,101686819
14;Samedi;5;0,356113825;0,243024342;0,273646522;0,076500095;0,050715216
15;Samedi;5;0,363427875;0,242018795;0,291024532;0,076771628;0,02675717
16;Samedi;5;0,368472805;0,246103337;0,284292556;0,075090135;0,026041167
17;Samedi;5;0,366694735;0,234865432;0,292388852;0,074717737;0,031333245
18;Samedi;5;0,355578925;0,220714836;0,301714473;0,086131704;0,035860062
19;Samedi;5;0,327560451;0,219998805;0,28136741;0,088076323;0,08299701
20;Samedi;5;0,318891428;0,216933369;0,249729995;0,089711094;0,124734113
21;Samedi;5;0,336826553;0,232653083;0,243976889;0,095550676;0,090992799
22;Samedi;5;0,351775447;0,238970157;0,247534;0,118103185;0,043617211
23;Samedi;5;0,365026267;0,24225177;0,234915693;0,140151315;0,017654954
0;Dimanche;5;0,366612677;0,240605401;0,258094063;0,125146682;0,009541176
1;Dimanche;5;0,40928513;0,252270576;0,234010456;0,097995975;0,006437863
2;Dimanche;5;0,429727235;0,272146031;0,206370852;0,084996475;0,006759407
3;Dimanche;5;0,431573013;0,263588977;0,212688015;0,085361555;0,006788441
4;Dimanche;5;0,443208454;0,249552939;0,222072709;0,079398599;0,005767299
5;Dimanche;5;0,440644782;0,247151681;0,218116526;0,087155875;0,006931135
6;Dimanche;5;0,443207907;0,24397547;0,229653538;0,074987473;0,008175612
7;Dimanche;5;0,409274617;0,232038021;0,245711626;0,07458365;0,038392086
8;Dimanche;5;0,360648416;0,215113715;0,285562959;0,090765281;0,047909628
9;Dimanche;5;0,348255696;0,226605716;0,294376174;0,088084606;0,042677808
10;Dimanche;5;0,35069336;0,239144121;0,294050647;0,087778449;0,028333423
11;Dimanche;5;0,34370249;0,238701944;0,301006712;0,085281587;0,031307268
12;Dimanche;5;0,337303464;0,245525028;0,26657858;0,079449321;0,071143607
13;Dimanche;5;0,342809524;0,258748735;0,230184474;0,077177555;0,091079712
14;Dimanche;5;0,347538845;0,260052209;0,265324879;0,081860189;0,045223878
