Saison;Jour;Heure;Climatisation et ventilation;Industrie hors metallurgie;Metallurgie;Energie;Cuisson;Eclairage;Autres usages
Ete;Vendredi;13;0,022859398;0,260663598;0,051351819;0,028280672;0,037824904;0,069846856;0,529172752
Ete;Vendredi;14;0,024357509;0,26201762;0,051618567;0,028427577;0,016419465;0,070308386;0,546850877
Ete;Vendredi;15;0,025361301;0,271129554;0,053413656;0,029416175;0,01479613;0,069064911;0,536818273
Ete;Vendredi;16;0,025908995;0,278084363;0,054783782;0,030170736;0,017753867;0,068381512;0,524916745
Ete;Vendredi;17;0,025732233;0,279310337;0,055025304;0,030303748;0,023451188;0,069994749;0,516182441
Ete;Vendredi;18;0,024869867;0,272678416;0,053718788;0,029584219;0,060812626;0,067799394;0,490536689
Ete;Vendredi;19;0,023127269;0,271924841;0,053570331;0,02950246;0,124600402;0,066026688;0,43124801
Ete;Vendredi;20;0,023597501;0,286552473;0,056452036;0,031089483;0,091092894;0,074307605;0,436908008
Ete;Vendredi;21;0,022867095;0,298672106;0,058839654;0,032404402;0,039404396;0,105639137;0,44217321
Ete;Vendredi;22;0,020737491;0,303134192;0,059718704;0,032888515;0,016677003;0,132400905;0,434443189
Ete;Vendredi;23;0,020327134;0,306415043;0,060365045;0,033244471;0,009011302;0,120101451;0,450535554
Ete;Samedi;0;0,019487036;0,334291272;0,065856779;0,0362689;0,006741808;0,097338867;0,440015339
Ete;Samedi;1;0,02185545;0,354616149;0,069860864;0,038474045;0,004822564;0,087934838;0,422436089
Ete;Samedi;2;0,023170214;0,352711861;0,069485712;0,03826744;0,004723689;0,085405685;0,426235398
Ete;Samedi;3;0,023376527;0,351919785;0,069329669;0,038181503;0,004556145;0,082991928;0,429644443
Ete;Samedi;4;0,024387564;0,352732311;0,06948974;0,038269658;0,005892774;0,085090234;0,424137719
Ete;Samedi;5;0,025569223;0,35504722;0,069945787;0,038520814;0,007983639;0,065595307;0,437338009
Ete;Samedi;6;0,026207892;0,353081864;0,069558604;0,038307583;0,018152188;0,060185064;0,434506805
Ete;Samedi;7;0,025063833;0,31880833;0,062806574;0,034589079;0,03372107;0,073440599;0,451570515
Ete;Samedi;8;0,024274273;0,290431537;0,057216227;0,031510342;0,044083973;0,072970654;0,479512993
Ete;Samedi;9;0,023570194;0,271914059;0,053568207;0,02950129;0,04783119;0,070378995;0,503236066
Ete;Samedi;10;0,022947324;0,262988146;0,051809765;0,028532874;0,049088486;0,069727659;0,514905746
Ete;Samedi;11;0,022757805;0,255822562;0,050398115;0,027755444;0,079811464;0,065886233;0,497568377
Ete;Samedi;12;0,020886651;0,251937345;0,049632711;0,027333918;0,132379065;0,059751685;0,458078625
Ete;Samedi;13;0,021189135;0,257811801;0,050790003;0,027971267;0,089059734;0,062014989;0,491163071
Ete;Samedi;14;0,022511135;0,263422386;0,051895312;0,028579986;0,041075874;0,063837132;0,528678175
Ete;Samedi;15;0,023268254;0,272195627;0,053623677;0,029531838;0,027160713;0,064268821;0,529951069
Ete;Samedi;16;0,023793356;0,279575129;0,05507747;0,030332477;0,028641252;0,064182577;0,518397739
Ete;Samedi;17;0,023517231;0,280118038;0,055184425;0,03039138;0,038346568;0,067106494;0,505335865
Ete;Samedi;18;0,024142126;0,269372253;0,05306746;0,029225517;0,07529217;0,06597111;0,482929365
Ete;Samedi;19;0,022996592;0,267923229;0,052781996;0,029068305;0,124552791;0,066234825;0,436442261
Ete;Samedi;20;0,023259193;0,282074005;0,055569759;0,030603592;0,12673513;0,072127917;0,409630404
Ete;Samedi;21;0,022917881;0,293902679;0,057900057;0,031886943;0,057469044;0,108852011;0,427071386
Ete;Samedi;22;0,02073551;0,297140987;0,058538017;0,032238283;0,01938738;0,139563461;0,432396362
Ete;Samedi;23;0,020011465;0,298270693;0,058760574;0,03236085;0,010457604;0,123135061;0,457003754
Ete;Dimanche;0;0,020439668;0,311372424;0,06134167;0,033782321;0,007189833;0,095248167;0,470625918
Ete;Dimanche;1;0,021414503;0,327569867;0,064532634;0,035539661;0,005109044;0,083628886;0,462205405
Ete;Dimanche;2;0,021476709;0,330841684;0,065177195;0,035894637;0,005029588;0,079922727;0,461657459
Ete;Dimanche;3;0,021961307;0,333706989;0,065741672;0,036205508;0,004855391;0,07884408;0,458685053
Ete;Dimanche;4;0,022287367;0,339309484;0,066845387;0,03681335;0,006324278;0,082634699;0,445785435
Ete;Dimanche;5;0,023743273;0,348927456;0,068740168;0,037856851;0,008770394;0,062775476;0,449186382
Ete;Dimanche;6;0,02450234;0,357642519;0,070457072;0,038802391;0,020533366;0,054188646;0,433873667
Ete;Dimanche;7;0,022467794;0,328000179;0,064617407;0,035586348;0,038622323;0,066697781;0,444008168
Ete;Dimanche;8;0,020681045;0,299913305;0,059084175;0,032539065;0,050549897;0,063331461;0,473901051
Ete;Dimanche;9;0,018712269;0,27645646;0,054463079;0,029994117;0,053984895;0,059286704;0,507102477
Ete;Dimanche;10;0,017270861;0,259929624;0,051207223;0,02820104;0,053997274;0,058543792;0,530850186
Ete;Dimanche;11;0,016604984;0,253179118;0,049877345;0,027468644;0,086743743;0,055349946;0,51077622
Ete;Dimanche;12;0,015926617;0,250867958;0,049422037;0,027217895;0,143167992;0,048923594;0,464473908
Ete;Dimanche;13;0,016862067;0,260983715;0,051414883;0,028315403;0,097246841;0,050021158;0,495155933
Ete;Dimanche;14;0,017724763;0,268964472;0,052987126;0,029181275;0,045245594;0,053235513;0,532661258
Ete;Dimanche;15;0,018614289;0,2799386;0,055149075;0,030371912;0,029973777;0,052788213;0,533164135
Ete;Dimanche;16;0,019050786;0,289052187;0,05694449;0,031360689;0,031576431;0,052069962;0,519945456
Ete;Dimanche;17;0,01904142;0,288910088;0,056916495;0,031345272;0,041950117;0,055026755;0,506809852
Ete;Dimanche;18;0,020026203;0,272865415;0,053755628;0,029604507;0,080382955;0,05627734;0,487087951
Ete;Dimanche;19;0,019743153;0,264325017;0,052073134;0,028677917;0,128091907;0,060303105;0,446785766
Ete;Dimanche;20;0,020302813;0,272338503;0,053651824;0,02954734;0,12619353;0,065376272;0,432589719
Ete;Dimanche;21;0,020225653;0,284068454;0,055962673;0,03081998;0,05658813;0,103313134;0,449021976
Ete;Dimanche;22;0,01944187;0,293985712;0,057916415;0,031895952;0,019282249;0,135869619;0,441608185
Ete;Dimanche;23;0,019515665;0,302877765;0,059668186;0,032860694;0,010591416;0,119807226;0,454679047
